StockCode,StockName_KR,MarketCap,ClosingPrice,DailyVolume,VolumeSpike,TrendArrow,MA20,MA60,RSI(14),MACD,MACD_Signal,Volatility(ATR),OBV,PearlScore,PearlScore_Normalized,PearlScore_Stars,PearlScore_Status
462310,뉴키즈온,,3595.0,18633,0.86,→,3413.0,3561.08,55.05,42.16,-2.15,332.86,31549941,1.13,56.5,★★★☆☆,OK
336060,웨이버스,,590.0,0,,→,577.75,720.62,54.9,-18.41,-27.95,435.07,833739832,,,☆☆☆☆☆,Data Missing
227610,아우딘퓨쳐스,,1468.0,21079,0.17,↑,1140.5,1227.28,88.5,116.04,65.61,164.57,84183044,0.06,3.0,★☆☆☆☆,OK
123750,알톤,,2050.0,118990,1.29,↓,2136.75,1915.78,34.85,61.92,86.91,167.36,132822320,1.0,50.0,★★★☆☆,OK
022220,티케이지애강,,548.0,119443,3.4,↓,563.0,691.9,42.53,-29.88,-36.73,47.71,426093777,3.19,100.0,★★★★★,OK
148250,알엔투테크놀로지,,2080.0,66532,1.17,↓,2267.5,2733.75,15.22,-149.03,-154.45,170.0,13873300,0.4,20.0,★☆☆☆☆,OK
065950,웰크론,,1001.0,150368,0.19,↓,1059.85,1159.55,45.65,-17.59,-14.48,148.79,1673184727,0.15,7.5,★☆☆☆☆,OK
043220,티에스넥스젠,,1710.0,0,,→,1710.0,1710.0,,-0.0,-0.0,1710.0,119461214,,,☆☆☆☆☆,Data Missing
066910,손오공,,2100.0,136854,0.13,↓,2117.6,2773.45,52.22,-64.28,-120.16,343.57,231414189,0.13,6.5,★☆☆☆☆,OK
038870,에코심플렉스,,2005.0,27601,0.1,→,1951.95,2226.22,59.81,8.08,-5.73,304.93,443494178,0.1,5.0,★☆☆☆☆,OK
065150,대산F&B,,1761.0,74221,1.0,↓,2690.75,2826.92,0.0,-235.32,-100.81,103.93,-4648815,0.0,0.0,☆☆☆☆☆,OK
131220,대한과학,,3750.0,6738,0.47,↓,3735.75,4011.83,60.42,2.98,-17.63,157.86,333153238,0.5,25.0,★★☆☆☆,OK
032790,엠젠솔루션,,1090.0,170055,0.97,↑,1005.4,1326.02,50.0,-63.98,-93.65,134.21,115419129,1.21,60.5,★★★☆☆,OK
434480,모니터랩,,2245.0,22413,0.58,↑,2299.0,2991.5,38.4,-138.79,-173.72,223.86,277154975,0.49,24.5,★★☆☆☆,OK
095910,에스에너지,,745.0,492098,0.53,↓,804.95,1437.37,42.9,-124.17,-156.24,80.79,512899733,0.49,24.5,★★☆☆☆,OK
044480,빌리언스,,831.0,26426,0.32,↓,975.65,1219.08,13.13,-80.02,-71.22,69.71,116472695,0.08,4.0,★☆☆☆☆,OK
069140,누리플랜,,1830.0,20635,0.45,↑,1728.5,1752.7,62.39,30.77,17.13,136.21,104893117,0.5,25.0,★★☆☆☆,OK
206560,덱스터,,1085.0,0,,↑,1119.0,1559.77,39.19,-99.64,-125.49,296.93,535651033,,,☆☆☆☆☆,Data Missing
031310,아이즈비전,,925.0,62185,0.53,↑,930.95,1223.97,47.42,-54.97,-72.15,44.43,481727124,0.58,29.0,★★☆☆☆,OK
199480,뱅크웨어글로벌,,2675.0,18891,0.92,↓,2797.75,3591.58,31.45,-183.8,-217.67,197.86,121072117,0.65,32.5,★★☆☆☆,OK
290520,신도기연,,1743.0,9537,0.46,↑,1538.15,2004.38,74.55,-37.45,-88.55,101.14,166144809,0.31,15.5,★☆☆☆☆,OK
351320,넥사다이내믹스,,916.0,28996,0.38,↓,1014.75,1212.18,33.14,-51.58,-55.06,83.93,138744912,0.28,14.0,★☆☆☆☆,OK
450520,인스웨이브,,1846.0,6808,0.42,↑,1790.25,2293.3,51.62,-89.36,-128.37,156.57,127777743,0.52,26.0,★★☆☆☆,OK
288980,모아데이타,,745.0,88216,0.22,↓,873.05,980.65,22.28,-48.29,-36.46,98.07,1674532160,0.09,4.5,★☆☆☆☆,OK
197140,디지캡,,2090.0,16083,0.64,↓,2124.25,1986.5,32.43,23.8,36.37,68.21,36705878,0.48,24.0,★★☆☆☆,OK
187220,디티앤씨,,2335.0,9945,0.52,↓,2396.0,2651.42,41.53,-47.88,-60.71,206.79,126118651,0.48,24.0,★★☆☆☆,OK
177830,파버나인,,2400.0,2674,0.23,↓,2420.0,2531.42,41.57,-23.03,-31.86,130.36,152241461,0.22,11.0,★☆☆☆☆,OK
464580,닷밀,,1460.0,37471,1.04,↑,1425.3,1674.25,51.66,-47.63,-66.08,141.07,65321167,1.28,64.0,★★★★☆,OK
058110,멕아이씨에스,,1675.0,18489,0.34,↓,1849.7,2147.53,36.34,-91.86,-86.75,117.79,380351996,0.23,11.5,★☆☆☆☆,OK
033050,제이엠아이,,845.0,24251,0.69,↑,766.3,859.3,77.0,-2.07,-14.83,45.43,184140750,0.42,21.0,★★☆☆☆,OK
